,Gene
0,0610009L18Rik
1,1500009L16Rik
2,1700025G04Rik
3,1700040L02Rik
4,1700097N02Rik
5,1810011H11Rik
6,2010013B24Rik
7,2310001H17Rik
8,2610035D17Rik
9,2610037D02Rik
10,2810417H13Rik
11,3830403N18Rik
12,4930481A15Rik
13,4930519L02Rik
14,4931406C07Rik
15,5330439K02Rik
16,5430427O19Rik
17,A430078G23Rik
18,AI467606
19,AI504432
20,AY036118
21,Abca1
22,Abcg1
23,Abcg3
24,Abhd17b
25,Ablim1
26,Abr
27,Acap1
28,Accs
29,Actb
30,Acvr1b
31,Adamts10
32,Adamtsl5
33,Adck3
34,Add3
35,Adgrg1
36,Adgrg3
37,Adgrl4
38,Adrbk2
39,Adssl1
40,Afap1l1
41,Aff3
42,Ago4
43,Agpat2
44,Akap13
45,Akr1b10
46,Akr1c13
47,Alas2
48,Alcam
49,Aldh2
50,Alox5ap
51,Amn1
52,Angpt1
53,Ankrd12
54,Ano10
55,Antxr2
56,Anxa1
57,Anxa2
58,Anxa4
59,Anxa5
60,Anxa6
61,Aph1c
62,Apoe
63,App
64,Appl1
65,Appl2
66,Aqp1
67,Arhgap15
68,Arhgap25
69,Arhgap30
70,Arhgap31
71,Arhgap32
72,Arhgdib
73,Arhgef18
74,Arhgef2
75,Arhgef28
76,Arhgef3
77,Arhgef6
78,Arid5b
79,Arl6ip1
80,Armc3
81,Armcx1
82,Arpc1b
83,Arpc2
84,Arrb2
85,As3mt
86,Asah1
87,Ass1
88,Atat1
89,Atp13a2
90,Atp2a3
91,Atp6v1g2
92,Atp8b4
93,Auts2
94,B2m
95,B4galt4
96,B4galt5
97,B4galt6
98,BC028528
99,BC035044
100,Bach2
101,Banp
102,Basp1
103,Batf
104,Baz2b
105,Bbc3
106,Bbx
107,Bcl2
108,Bcr
109,Bex4
110,Bin1
111,Bin2
112,Birc5
113,Blvrb
114,Bpifc
115,Btg1
116,Btg2
117,Btnl9
118,C030034L19Rik
119,C1rl
120,C230035I16Rik
121,C920006O11Rik
122,Cacnb2
123,Cacybp
124,Cadps2
125,Calcoco1
126,Calcrl
127,Camk2a
128,Camkk2
129,Capg
130,Capn2
131,Car1
132,Car2
133,Card19
134,Carns1
135,Casp1
136,Casp4
137,Cbfa2t3
138,Cbfb
139,Ccdc112
140,Ccdc125
141,Ccdc180
142,Ccl3
143,Ccl4
144,Ccl9
145,Ccna2
146,Ccnb1
147,Ccnd2
148,Ccne1
149,Ccng2
150,Cd200r1
151,Cd244
152,Cd24a
153,Cd27
154,Cd274
155,Cd300a
156,Cd34
157,Cd48
158,Cd53
159,Cd63
160,Cd72
161,Cd74
162,Cd84
163,Cd9
164,Cd96
165,Cdc14b
166,Cdc25b
167,Cdk14
168,Cdk6
169,Cdkn1a
170,Cdkn1b
171,Cebpb
172,Celf2
173,Cenpa
174,Cenpf
175,Cep19
176,Cers4
177,Cers5
178,Chd2
179,Chd3
180,Chd6
181,Chd9
182,Chn2
183,Cited2
184,Cited4
185,Cks2
186,Cldn13
187,Clec12a
188,Clec2d
189,Clec2i
190,Clec4d
191,Clec4e
192,Clic1
193,Clnk
194,Cmas
195,Cmtm7
196,Cnbd2
197,Cnn2
198,Cnn3
199,Cnrip1
200,Cobll1
201,Coro1a
202,Coro2a
203,Cotl1
204,Cpa3
205,Cpd
206,Cpne2
207,Cpne3
208,Cpox
209,Cpq
210,Crebrf
211,Crim1
212,Crip1
213,Crispld1
214,Crlf2
215,Crlf3
216,Csad
217,Csf2ra
218,Csf2rb
219,Csf3r
220,Csgalnact1
221,Csnk1e
222,Csrp2
223,Csrp3
224,Cst3
225,Cst7
226,Ctdsp2
227,Ctla2a
228,Ctla2b
229,Ctse
230,Ctsg
231,Ctso
232,Ctss
233,Cuedc1
234,Cul9
235,Cxxc5
236,Cyba
237,Cyp4f13
238,Cyp51
239,Cyp7b1
240,Cyth4
241,Cytip
242,Dab2ip
243,Dach1
244,Dapp1
245,Ddah2
246,Ddit3
247,Ddx58
248,Ddx60
249,Def6
250,Dennd1c
251,Dennd2d
252,Dennd3
253,Dennd5b
254,Dfna5
255,Dgkg
256,Dhrs3
257,Dhrs7
258,Diaph1
259,Diaph2
260,Dlg4
261,Dlgap4
262,Dnah12
263,Dntt
264,Dock11
265,Dock2
266,Dok2
267,Dok3
268,Drosha
269,Dst
270,Dtnbp1
271,Dusp1
272,Dusp23
273,Ebf1
274,Ebi3
275,Ebpl
276,Eepd1
277,Efcc1
278,Egln3
279,Egr1
280,Elane
281,Elf1
282,Elk3
283,Elmo1
284,Emb
285,Emcn
286,Emid1
287,Emilin1
288,Eml4
289,Ensa
290,Eps8
291,Epsti1
292,Erg
293,Esr1
294,Etv6
295,Evl
296,Exoc3l2
297,Eya1
298,Eya2
299,F11r
300,F2r
301,F630028O10Rik
302,Fabp5
303,Fam107b
304,Fam117a
305,Fam129a
306,Fam132a
307,Fam134b
308,Fam171a1
309,Fam174b
310,Fam189b
311,Fam214a
312,Fam46a
313,Fam49a
314,Fam64a
315,Fam98c
316,Fbxl13
317,Fbxo32
318,Fcer1g
319,Fchsd2
320,Fdft1
321,Fdps
322,Fes
323,Fgd2
324,Fgd3
325,Fgd4
326,Fgd5
327,Fkbp1a
328,Fli1
329,Flot1
330,Flt3
331,Fmnl1
332,Fmnl2
333,Fmo5
334,Fnbp1l
335,Fndc3a
336,Fos
337,Foxn3
338,Foxp1
339,Fth1
340,Fut8
341,Fxyd5
342,Fyb
343,Fyn
344,G430095P16Rik
345,Gabpb1
346,Galnt11
347,Galnt6
348,Gata2
349,Gata3
350,Gcnt1
351,Gcnt2
352,Gda
353,Gdi1
354,Gem
355,Gfod1
356,Ggh
357,Ggt5
358,Ggta1
359,Gimap6
360,Glipr1
361,Glul
362,Gm11713
363,Gm12216
364,Gm14302
365,Gm15261
366,Gm15657
367,Gm15658
368,Gm15915
369,Gm16140
370,Gm16152
371,Gm17473
372,Gm17590
373,Gm19590
374,Gm20186
375,Gm21807
376,Gm26510
377,Gm26522
378,Gm26632
379,Gm26637
380,Gm26759
381,Gm2a
382,Gm42722
383,Gm42749
384,Gm4285
385,Gm43643
386,Gm44148
387,Gm4951
388,Gm973
389,Gm9888
390,Gmfg
391,Gmpr
392,Gnal
393,Gnaq
394,Gnb4
395,Gng11
396,Gng2
397,Gnpda2
398,Gpr132
399,Gpr160
400,Gpr171
401,Gpr183
402,Gpr65
403,Gpsm1
404,Gramd1a
405,Grasp
406,Grn
407,Gstm1
408,Guca1a
409,Gulp1
410,Gypa
411,H2-Ab1
412,H2-DMa
413,H2-DMb1
414,H2-K1
415,H2-Ob
416,H2-Q7
417,H2-T22
418,H2-T23
419,H2afy
420,Hacd4
421,Hba-a1
422,Hba-a2
423,Hbb-bs
424,Hbb-bt
425,Hbp1
426,Hcls1
427,Hcst
428,Hdac5
429,Hdc
430,Hdgfrp3
431,Hebp1
432,Hexb
433,Hgf
434,Hhex
435,Hip1
436,Hist1h2bc
437,Hk3
438,Hlf
439,Hmga2
440,Hmgn3
441,Hmha1
442,Hnmt
443,Homez
444,Hoxa7
445,Hoxa9
446,Hoxb3os
447,Hp1bp3
448,Hspa12b
449,Hspa5
450,Hspa8
451,Hsph1
452,Icam1
453,Idi1
454,Ifi203
455,Ifi44
456,Ifi47
457,Ifitm1
458,Ifitm3
459,Ifitm7
460,Ifngr1
461,Ift81
462,Igf1r
463,Igfbp4
464,Iigp1
465,Ikzf2
466,Il10rb
467,Il11ra1
468,Il12a
469,Il15
470,Il16
471,Il17ra
472,Il18
473,Il3ra
474,Il4ra
475,Il6ra
476,Inadl
477,Ing4
478,Inpp1
479,Inpp4a
480,Inpp4b
481,Inpp5k
482,Iqgap1
483,Iqgap2
484,Irf1
485,Irf2
486,Irf8
487,Irgm2
488,Isoc2b
489,Itga2b
490,Itga6
491,Itgal
492,Itgb3
493,Itgb7
494,Itih5
495,Itm2b
496,Itm2c
497,Itpkb
498,Itpr2
499,Jak3
500,Jakmip1
501,Kcnc1
502,Kcnip3
503,Kcnk12
504,Kcnk5
505,Kctd1
506,Kdm5b
507,Kif17
508,Kif26b
509,Klf1
510,Klf10
511,Klf6
512,Klf7
513,Klhl24
514,Klhl6
515,Klk8
516,Krt18
517,L3mbtl3
518,Laptm4b
519,Laptm5
520,Large
521,Lat
522,Lat2
523,Lax1
524,Lcp1
525,Lcp2
526,Ldhb
527,Ldlr
528,Letm2
529,Lgals1
530,Lhcgr
531,Limd2
532,Lmo2
533,Lmo4
534,Lncpint
535,Lpcat2
536,Lpgat1
537,Lpp
538,Lrmp
539,Lrrfip1
540,Lsp1
541,Lst1
542,Ltb4r1
543,Ltbp3
544,Lxn
545,Ly6e
546,Lyl1
547,Magi2
548,Malat1
549,Mamdc2
550,Maml2
551,Maml3
552,Map3k14
553,Map4k4
554,Marcks
555,Matk
556,Mbnl2
557,Mcmbp
558,Mcoln2
559,Mcpt8
560,Mctp1
561,Mdfi
562,Mdfic
563,Mdga1
564,Mecom
565,Med12l
566,Mef2c
567,Meis1
568,Mettl7a1
569,Mfng
570,Mfsd2b
571,Mfsd6
572,Mir142hg
573,Mirt1
574,Mllt4
575,Mmrn1
576,Mndal
577,Mpl
578,Mpnd
579,Mpo
580,Ms4a2
581,Ms4a3
582,Ms4a6c
583,Msi2
584,Msmo1
585,Mt1
586,Mt2
587,Mtap7d3
588,Mthfd2
589,Muc13
590,Mxd4
591,Myb
592,Myc
593,Mycn
594,Myct1
595,Myl10
596,Mylip
597,Myo1f
598,Myo1g
599,Naip5
600,Napsa
601,Ncf2
602,Ncf4
603,Ncoa3
604,Ndrg1
605,Neat1
606,Nedd9
607,Nek6
608,Neurl3
609,Nfam1
610,Nfatc1
611,Nfe2
612,Nfic
613,Nfkbia
614,Nfkbiz
615,Nim1k
616,Ninj1
617,Nkg7
618,Nkx2-3
619,Nos1ap
620,Notch1
621,Notch2
622,Nrgn
623,Nrip1
624,Nrros
625,Nrxn1
626,Nt5dc2
627,Nupr1
628,Nusap1
629,Nwd1
630,Nynrin
631,Oasl2
632,Optn
633,Orai2
634,Osbpl1a
635,Osbpl8
636,Osm
637,Oxr1
638,P2rx1
639,P2rx4
640,P2ry14
641,PISD
642,Padi2
643,Padi4
644,Pafah1b3
645,Pafah2
646,Pank1
647,Paqr5
648,Paqr7
649,Pard3b
650,Parm1
651,Parp8
652,Pbx1
653,Pcp4l1
654,Pde4b
655,Pde5a
656,Pde8a
657,Pdgfrb
658,Pdzk1ip1
659,Pdzph1
660,Pear1
661,Pecam1
662,Peli2
663,Pf4
664,Pglyrp2
665,Phactr2
666,Phf21a
667,Phldb3
668,Pik3ip1
669,Pim1
670,Pim2
671,Pink1
672,Pitpnc1
673,Pkib
674,Pkm
675,Pla2g15
676,Pla2g4a
677,Plac8
678,Plag1
679,Plaur
680,Plcb1
681,Plcb2
682,Plcg2
683,Plec
684,Plek
685,Plekha2
686,Plekhm3
687,Plekho1
688,Plscr3
689,Plxdc2
690,Plxnc1
691,Pnrc1
692,Pold4
693,Por
694,Pou2f2
695,Ppfibp2
696,Ppic
697,Ppm1k
698,Ppp1r13b
699,Ppp1r15a
700,Ppp1r18
701,Ppp2r3a
702,Ppp3ca
703,Ppt1
704,Prkacb
705,Prkag2
706,Prkca
707,Prkcq
708,Prkg1
709,Prmt2
710,Prrg4
711,Prss50
712,Prss57
713,Prtn3
714,Psmb8
715,Psmb9
716,Pstpip1
717,Ptger3
718,Ptger4
719,Ptgs1
720,Ptk7
721,Ptov1
722,Ptpn18
723,Ptpn22
724,Ptprc
725,Ptprcap
726,Ptpre
727,RP23-6I17.1
728,Rab27a
729,Rab27b
730,Rab2b
731,Rab31
732,Rab37
733,Rab38
734,Rab40b
735,Rab44
736,Rac2
737,Ralgps2
738,Ramp1
739,Rap1b
740,Rap1gap2
741,Rapgef3
742,Rasa3
743,Rasa4
744,Rasal3
745,Rasgrp2
746,Rassf2
747,Rassf4
748,Rassf5
749,Rb1cc1
750,Rbm47
751,Rbp1
752,Rbpms
753,Rcsd1
754,Rdh5
755,Rec114
756,Rel
757,Renbp
758,Rfx3
759,Rgs1
760,Rgs14
761,Rgs18
762,Rgs19
763,Rgs2
764,Rgs7bp
765,Rhd
766,Rhobtb1
767,Rhoh
768,Rhoq
769,Rin3
770,Rnf114
771,Rnf122
772,Rnf13
773,Rnf150
774,Rnf166
775,Rnf180
776,Rnf217
777,Rnf6
778,Rora
779,Rpgrip1
780,Rpl12
781,Rpl18a
782,Rpl39l
783,Rplp1
784,Rps12
785,Rps19
786,Rps24
787,Rrm2
788,Rsad2
789,Rsrp1
790,Rtp4
791,Runx1
792,Runx2
793,Runx2os1
794,S100a1
795,S100a10
796,S100a11
797,S100a13
798,S100a6
799,S100a8
800,S100a9
801,S1pr1
802,Samd10
803,Samd12
804,Sapcd1
805,Saraf
806,Sash1
807,Sash3
808,Satb1
809,Scaper
810,Scarf1
811,Scin
812,Scml4
813,Sdf2l1
814,Sdpr
815,Sell
816,Selp
817,Selplg
818,Sepp1
819,Sept1
820,Sept6
821,Sept9
822,Serpina3g
823,Serpinb1a
824,Serpinf1
825,Serpini1
826,Sesn3
827,Sfrp4
828,Sfxn4
829,Sgce
830,Sh2d3c
831,Sh3bgrl3
832,Shisa5
833,Shisa8
834,Sigirr
835,Siglecf
836,Sipa1l1
837,Sirpa
838,Sirt3
839,Skap2
840,Sla
841,Sla2
842,Slain1
843,Slamf1
844,Slc15a2
845,Slc16a12
846,Slc18a2
847,Slc22a3
848,Slc24a3
849,Slc26a11
850,Slc2a1
851,Slc2a9
852,Slc38a5
853,Slc39a1
854,Slc43a2
855,Slc45a3
856,Slc50a1
857,Slc7a8
858,Slc9a3r1
859,Slc9a9
860,Slco3a1
861,Slfn8
862,Smad1
863,Smad6
864,Smad7
865,Smagp
866,Smarca2
867,Smim3
868,Smim5
869,Sntb2
870,Snx10
871,Snx14
872,Snx20
873,Snx24
874,Sox5
875,Sp100
876,Sp110
877,Spata13
878,Spata6
879,Spi1
880,Spns2
881,Spns3
882,Sptan1
883,Sptbn1
884,Sqle
885,Srebf2
886,Srgap3
887,Srgn
888,Srm
889,Srpk2
890,St8sia6
891,Stap1
892,Stard4
893,Stat1
894,Stat3
895,Stat4
896,Stk10
897,Stk4
898,Stmn1
899,Stx3
900,Stxbp4
901,Sugp2
902,Sun2
903,Susd3
904,Syk
905,Syne2
906,Tagln2
907,Tap2
908,Tbc1d10c
909,Tbc1d16
910,Tbc1d4
911,Tbxa2r
912,Tbxas1
913,Tcf4
914,Tcn2
915,Tcp11
916,Tcp11l2
917,Tec
918,Tek
919,Tes
920,Tet1
921,Tfec
922,Tfrc
923,Tgfb1
924,Tgfbr2
925,Tgif1
926,Tgtp2
927,Thap3
928,Thsd1
929,Tie1
930,Timp3
931,Tm6sf1
932,Tmem140
933,Tmem14c
934,Tmem150b
935,Tmem159
936,Tmem176a
937,Tmem176b
938,Tmem180
939,Tmem205
940,Tmem245
941,Tmem40
942,Tmem71
943,Tmem91
944,Tmem97
945,Tmod3
946,Tmsb10
947,Tmsb4x
948,Tnfaip8
949,Tnfaip8l2
950,Tnfrsf13b
951,Tnfrsf21
952,Tnfsf13os
953,Tnik
954,Tnip3
955,Tnrc18
956,Top2a
957,Tox
958,Tpd52
959,Tpm3
960,Tpm4
961,Traf3ip2
962,Traf3ip3
963,Treml2
964,Trf
965,Trib2
966,Trim12a
967,Trim12c
968,Trim14
969,Trim30a
970,Trim30d
971,Trim47
972,Trim5
973,Triobp
974,Trp53cor1
975,Trp53i13
976,Trp53inp1
977,Trpc6
978,Trps1
