	waldStat	df	pvalue	padj
Hbb-bs	784.916776968389	6	0	0
Fabp5	783.071255085018	6	0	0
Cd48	616.714776804627	6	0	0
Sapcd1	430.042995906921	6	0	0
Hba-a2	425.210109364675	6	0	0
Ptger3	424.178784251909	6	0	0
Hba-a1	335.984263572863	6	0	0
Hbb-bt	298.995361108342	6	0	0
Hspa8	272.119970484376	6	0	0
Elane	232.858056499985	6	0	0
Hsph1	206.800317580298	6	0	0
Ctsg	157.240392373053	6	0	0
Gda	157.055997835588	5	0	0
Msmo1	135.89461613623	6	0	0
Tfrc	132.697961255384	5	0	0
Cpd	125.217688764669	6	0	0
Bex4	124.159086071242	6	0	0
Ass1	120.978069104521	6	0	0
Pim1	118.526137575868	6	0	0
Pf4	111.51824944391	6	0	0
Mthfd2	111.125850414978	6	0	0
Vps13c	102.908841584441	6	0	0
Gm42749	102.260123560828	6	0	0
Mpo	97.527739585162	6	0	0
Hspa5	94.5046663030785	6	0	0
Osm	88.0613568485853	6	1.11022302462516e-16	3.39292086489909e-14
1700097N02Rik	87.0224297386315	6	1.11022302462516e-16	3.39292086489909e-14
Slc9a3r1	86.9386872177069	6	1.11022302462516e-16	3.39292086489909e-14
Cd74	84.305501884154	6	4.44089209850063e-16	1.31036943747827e-13
Mt2	77.8894685614102	5	2.33146835171283e-15	6.65012489520223e-13
Banp	68.7929406534043	3	7.7715611723761e-15	2.14520157909749e-12
Ccnd2	75.5469699402999	6	2.96429547574917e-14	7.92671137062051e-12
Rrm2	72.7769614494468	6	1.10023101740353e-13	2.85293236846121e-11
Prkcq	71.4707377000003	6	2.04058991926104e-13	5.1356846879755e-11
Cyp51	67.4655297125648	6	1.35158551017867e-12	3.21264366961079e-10
Igfbp4	61.590382288649	4	1.34336985979644e-12	3.21264366961079e-10
Hist1h2bc	63.3740448084941	6	9.26037024839843e-12	2.14164833014987e-09
Ccl9	55.591172322694	6	3.52107787371381e-10	7.92891141193922e-08
Idi1	55.5160686125223	6	3.64629770821523e-10	8.00035115107634e-08
Ldlr	51.1855184349789	5	7.92396037674337e-10	1.69513322359482e-07
Tmem97	50.1375360330067	6	4.41186276400884e-09	9.20788040771309e-07
Csrp3	49.3857879954288	6	6.2411676937657e-09	1.27156361798936e-06
Sdf2l1	48.8943597322655	6	7.82787989983547e-09	1.55774810006726e-06
Cebpb	45.873255408095	6	3.13763491854857e-08	6.10198681773185e-06
Sfrp4	39.8282633449828	4	4.69723556717483e-08	8.93205438851445e-06
Dtnbp1	44.07958378805	6	7.12827549209649e-08	1.32601420404065e-05
Sqle	43.6672145726614	6	8.60470682484404e-08	1.56660587872746e-05
Cd53	42.8685246553778	6	1.23843661548051e-07	2.20777127472223e-05
Srm	41.4442487398389	6	2.36695369415507e-07	4.13347403283366e-05
Ccdc180	36.8572250329438	5	6.39743925945346e-07	0.000109485775486287
Cacybp	38.9007726486196	6	7.4853960929655e-07	0.000125593204642168
Ms4a3	38.7299108947861	6	8.08517733541514e-07	0.000133047812421437
AY036118	35.7759227432442	5	1.053046066124e-06	0.000170017267694774
Btg2	37.9398768163732	6	1.15417463797396e-06	0.000182893932910059
Satb1	31.989696372405	4	1.92239657159643e-06	0.000299089953875466
Ifi47	36.535229415543	6	2.16905177186089e-06	0.000331438857353814
Gcnt1	36.3534216025176	6	2.35316511509875e-06	0.000353263752454387
Nkg7	31.3557090636464	4	2.59020698523127e-06	0.000382144847803862
Tmem245	36.0748956312636	6	2.66575391438817e-06	0.000386624682125755
S100a8	35.5523478920239	6	3.36759682373344e-06	0.000480275433678118
Stard4	35.0074208826329	6	4.29525919221074e-06	0.000602533326356514
Tnfrsf21	34.0466674047763	6	6.58923890928254e-06	0.000909421247527914
Fdft1	33.4629058661962	6	8.54004385109075e-06	0.00115995484498069
Ptger4	32.7774195900604	6	1.15721069445796e-05	0.00154722686132449
Ccne1	28.1016110762772	4	1.18952187505572e-05	0.00156595979766951
Slc38a5	27.6500737712088	4	1.46844792887624e-05	0.00190386498899909
H2-Q7	30.1599492853454	6	3.66494396701889e-05	0.00468073515310158
Kcnk5	30.0679660961774	6	3.81560112502344e-05	0.00479944853677831
Clec12a	30.0355924991925	6	3.87007069110323e-05	0.00479944853677831
Emb	28.8593508793951	6	6.46808233013552e-05	0.00771426082481355
Ydjc	28.8512619029052	6	6.49090545035147e-05	0.00771426082481355
Cited4	24.5045842957851	4	6.32685863537485e-05	0.00771426082481355
Cnn3	24.4830367333824	5	0.000175288592054956	0.0205471846878666
Ccna2	26.4907368545065	6	0.000180327439334271	0.0208521878159913
Nt5dc2	26.3847069407124	6	0.000188739728040233	0.0215339447045369
Hk3	26.2209524716854	6	0.000202498416535302	0.0227997230301655
Trib2	21.8925007171543	4	0.00021054041943358	0.0233973294687422
Fdps	25.529326550328	6	0.000272373304218476	0.0298807482589423
Cldn13	20.5553881330193	4	0.000387859550133318	0.041486427131135
Lat	18.2828468123072	3	0.000384545484290566	0.041486427131135
