,Gene
0,1600010M07Rik
1,1700025G04Rik
2,1700047M11Rik
3,1700097N02Rik
4,1810021B22Rik
5,2210016F16Rik
6,2310001H17Rik
7,2610035D17Rik
8,2810474O19Rik
9,4930402H24Rik
10,4930519L02Rik
11,4930579G24Rik
12,6030458C11Rik
13,6430548M08Rik
14,9830107B12Rik
15,A430005L14Rik
16,A430078G23Rik
17,AA467197
18,AB124611
19,AC139671.1
20,AI987944
21,Aatk
22,Abcg1
23,Abhd2
24,Abi1
25,Abi2
26,Ablim1
27,Acbd5
28,Acox1
29,Acpp
30,Acsl4
31,Actb
32,Actn1
33,Ada
34,Adamts10
35,Add3
36,Adgre5
37,Adgrg1
38,Adgrl4
39,Afap1l1
40,Aff3
41,Agfg1
42,Ago1
43,Ahdc1
44,Akap13
45,Akap9
46,Akr1b3
47,Alcam
48,Alkbh5
49,Alox5
50,Alyref
51,Amn1
52,Angpt1
53,Ank
54,Ankra2
55,Ankrd11
56,Ankrd22
57,Ankrd40
58,Ankrd44
59,Anks1
60,Anln
61,Anp32b
62,Anp32e
63,Antxr2
64,Anxa2
65,Anxa5
66,Anxa6
67,Ap1s3
68,Ap3s2
69,Aplp2
70,Apobec3
71,Arap3
72,Arfip1
73,Arglu1
74,Arhgap11a
75,Arhgap18
76,Arhgap25
77,Arhgap32
78,Arhgap6
79,Arhgef18
80,Arhgef3
81,Arid1b
82,Arid4a
83,Arl2bp
84,Armc3
85,Arsb
86,Asb3
87,Asb7
88,Asf1b
89,Ash1l
90,Asprv1
91,Atf7ip
92,Atp11a
93,Atp2b1
94,Atp2b4
95,Atp8a1
96,Atxn1
97,Atxn7
98,Auts2
99,B230208H11Rik
100,B4galt1
101,B4galt6
102,BC035044
103,BC100530
104,Bach2
105,Bahcc1
106,Bbx
107,Bcl11a
108,Bcl2
109,Bcl6
110,Bex6
111,Bicd1
112,Bicra
113,Birc3
114,Birc6
115,Blvrb
116,Bmi1
117,Bmp2k
118,Bmpr1a
119,Bmpr2
120,Bmt2
121,Bmx
122,Bola2
123,Bora
124,Bptf
125,Bri3
126,Bst2
127,Btf3
128,Btnl9
129,C2cd3
130,C5ar1
131,Cab39
132,Calcrl
133,Calr
134,Camk1d
135,Camk2a
136,Camk2d
137,Camp
138,Canx
139,Cap1
140,Capg
141,Car1
142,Car2
143,Carnmt1
144,Casp3
145,Cbfa2t3
146,Cbl
147,Cbx3
148,Cbx5
149,Ccdc180
150,Ccdc34
151,Ccdc85b
152,Ccl5
153,Ccl6
154,Ccl9
155,Ccna2
156,Ccnb1
157,Ccnb2
158,Ccnd2
159,Ccne2
160,Ccng2
161,Ccnl2
162,Ccr1
163,Cct4
164,Cd177
165,Cd200r1
166,Cd27
167,Cd2ap
168,Cd300a
169,Cd300lb
170,Cd300lf
171,Cd302
172,Cd34
173,Cd3d
174,Cd44
175,Cd48
176,Cd52
177,Cd63
178,Cd74
179,Cd84
180,Cdc20
181,Cdc25c
182,Cdc37l1
183,Cdc42bpa
184,Cdca3
185,Cdca8
186,Cdk1
187,Cdk4
188,Cdk6
189,Cdkn3
190,Cds2
191,Cdv3
192,Ceacam10
193,Cenpa
194,Cenpe
195,Cenpf
196,Cenpi
197,Cenpm
198,Cenpp
199,Cenpv
200,Cenpw
201,Cep120
202,Cep19
203,Ces2g
204,Cflar
205,Cfp
206,Chchd7
207,Chd2
208,Chd3
209,Chd6
210,Chil1
211,Chil3
212,Chst15
213,Cic
214,Cit
215,Ckap5
216,Cks1b
217,Cks2
218,Clasp2
219,Clec2d
220,Clec4e
221,Clec5a
222,Clk1
223,Cln3
224,Clnk
225,Cmah
226,Cmc1
227,Cmc2
228,Cmpk2
229,Cmtm8
230,Cnbp
231,Cobll1
232,Cog3
233,Coro2a
234,Cpa3
235,Cpd
236,Cpeb2
237,Cpeb4
238,Cpne2
239,Cracr2b
240,Cradd
241,Crebbp
242,Crebrf
243,Crip1
244,Crispld2
245,Csad
246,Csf3r
247,Csgalnact1
248,Csgalnact2
249,Csnk1d
250,Csnk1e
251,Csnk1g2
252,Csrp1
253,Cst7
254,Cstb
255,Ctla2a
256,Ctr9
257,Ctse
258,Ctsg
259,Ctss
260,Cxcr2
261,Cxxc5
262,Cystm1
263,Cyth4
264,Cytip
265,D16Ertd472e
266,D1Ertd622e
267,Dapp1
268,Dbf4
269,Dbt
270,Dcaf6
271,Dck
272,Dctn4
273,Dctpp1
274,Dcun1d1
275,Ddah2
276,Ddost
277,Ddx17
278,Ddx21
279,Ddx3y
280,Ddx60
281,Degs1
282,Dennd4a
283,Depdc1a
284,Desi1
285,Dgat1
286,Dgkh
287,Dhcr24
288,Dhrs7
289,Dhrs7b
290,Diaph1
291,Dmkn
292,Dmtf1
293,Dmxl2
294,Dnmt1
295,Dnmt3a
296,Dnmt3b
297,Dntt
298,Dock7
299,Dpysl2
300,Drc7
301,Dsp
302,Dut
303,Dzip3
304,E130308A19Rik
305,E2f2
306,Eaf1
307,Ebf1
308,Ect2
309,Eef1a1
310,Eef1g
311,Eef2k
312,Egfl7
313,Eif2a
314,Eif2s3y
315,Eif3e
316,Eif3i
317,Eif4a1
318,Eif4a2
319,Eif4enif1
320,Elane
321,Elf1
322,Ell
323,Elovl7
324,Elp3
325,Emb
326,Emilin2
327,Eng
328,Eny2
329,Ep300
330,Epb41l2
331,Epb41l4aos
332,Epc2
333,Epsti1
334,Etfb
335,Ets1
336,Etv6
337,Ezh2
338,F10
339,F13a1
340,F5
341,F730016J06Rik
342,Fam117a
343,Fam129a
344,Fam168a
345,Fam185a
346,Fbxl20
347,Fbxl3
348,Fbxl5
349,Fbxo5
350,Fcho2
351,Fchsd2
352,Fcnb
353,Fgd3
354,Fgd4
355,Fgr
356,Fkbp1a
357,Fkbp2
358,Fkbp5
359,Flt3
360,Fmc1
361,Fmnl1
362,Foxn3
363,Foxo3
364,Fpr1
365,Fubp1
366,Fuca1
367,Fundc2
368,Furin
369,Fxyd5
370,Fyb
371,Fyn
372,G3bp1
373,Gab2
374,Gab3
375,Gas2l3
376,Gatm
377,Gcnt1
378,Gcnt2
379,Gda
380,Gdpd3
381,Gem
382,Gimap6
383,Gkap1
384,Glipr1
385,Glul
386,Gm12166
387,Gm12216
388,Gm16124
389,Gm1673
390,Gm19705
391,Gm20234
392,Gm26542
393,Gm26733
394,Gm26797
395,Gm32036
396,Gm34084
397,Gm42477
398,Gm42722
399,Gm47283
400,Gm5160
401,Gm5483
402,Gm9733
403,Gnb2
404,Gnb4
405,Gng2
406,Gnl3l
407,Golga1
408,Golga5
409,Golim4
410,Gpatch2
411,Gpatch2l
412,Gpatch8
413,Gpbp1l1
414,Gpcpd1
415,Gpr132
416,Gpr171
417,Gramd1a
