"","waldStat","df","pvalue","padj"
"Mrpl15",0.214792427717888,4,0.994629764145952,1
"Vcpip1",0.798852141024546,4,0.938601884752315,1
"Snhg6",4.90223936447348,4,0.297476229427982,1
"Ppp1r42",0.201161456050724,5,0.999101310448331,1
"Cops5",0,4,1,1
"Arfgef1",0.359664704104654,4,0.985644045479566,1
"Ncoa2",1.1991650575713,4,0.878236066447604,1
"Tram1",0,4,1,1
"Lactb2",0,4,1,1
"Rpl7",33.1256055791572,4,1.12579669242496e-06,0.00020192948478276
"Eloc",0,4,1,1
"Mcm3",4.13878575670079,2,0.126262415085523,1
"Tram2",0.405810241695815,2,0.816355692887234,1
"Ogfrl1",0,4,1,1
"Smap1",0,4,1,1
"Sdhaf4",3.59160324460861,2,0.165994334238026,1
"Phf3",0,4,1,1
"Ptp4a1",0,4,1,1
"Prim2",1.51690804937178,4,0.823642257622173,1
"Bag2",1.29994700693724,2,0.522059609346578,1
"Zfp451",0,4,1,1
"Ccdc115",0.35106605368993,4,0.98628359676209,1
"Fam168b",0.159913409332447,4,0.996968850632,1
"Uggt1",3.36465442660845,4,0.49875392934785,1
"Neurl3",1.28141417847559,4,0.864520908628022,1
"Kansl3",0.990876081125689,4,0.911176303579629,1
"Actr1b",1.39028705049283,3,0.707813071908708,1
"Tmem131",2.13005249683823,3,0.545856905088479,1
"Coa5",1.94934957826142,4,0.745074498163222,1
"Mgat4a",0.847929037912293,4,0.931909452729336,1
"Txndc9",0,4,1,1
"Rev1",1.26663243231578,4,0.867010857104895,1
"Aff3",0.578730013397008,2,0.748738860819773,1
"Tbc1d8",0.0229688056976546,4,0.999934556976231,1
"Rnf149",0.372479448113852,4,0.984667443433347,1
"Tgfbrap1",15.1044360046069,3,0.00172954147213711,0.108494362718509
"Uxs1",0.556408386534584,4,0.967782337992831,1
"Tex30",0,4,1,1
"Kdelc1",0.796255931876428,2,0.67157608329957,1
"Slc40a1",0,5,1,1
"Slc39a10",NA,NA,NA,NA
"Gls",3.16232296663723,4,0.531037840081114,1
"Nab1",0,4,1,1
"Mfsd6",0.107697039013767,4,0.998601179912825,1
"Inpp1",0.00272745340117002,2,0.998637202752117,1
"Asnsd1",1.00683389919597,4,0.908757982868822,1
"Stk17b",0,4,1,1
"Gtf3c3",7.7033142002153,3,0.0525582493507672,1
"Ankrd44",1.04020294282815,4,0.903639861488537,1
"Sf3b1",0.0543295536226555,4,0.999637651730882,1
"Hspd1",6.0026684564138,4,0.198949080148073,1
"Tyw5",1.03065431296907,2,0.597305150396361,1
"Clk1",0,4,1,1
"Ppil3",0,4,1,1
"Orc2",3.05500622142725,4,0.548662814139594,1
"Fam126b",0.428812417743525,4,0.98005070533495,1
"Trak2",0.00450103584423432,4,0.999997471380834,1
"Tmem237",5.73144916623124,3,0.125432419203308,1
"Wdr12",26.9874700619493,4,1.99951954305e-05,0.00267353940356176
"Ino80d",1.27241930024332,4,0.866037323901322,1
"Ndufs1",0.913456952952659,4,0.922622311768399,1
"Klf7",0,4,1,1
"Idh1",0.0015522296191418,4,0.999999698978688,1
"Kansl1l",6.27659383066447,4,0.179422380490504,1
"Acadl",0.0349545264570568,4,0.999849040530595,1
"Lancl1",1.65515824184329,4,0.798846142293556,1
"Ikzf2",NA,NA,NA,NA
"Bard1",6.0615607056931,4,0.194597810672668,1
"Mreg",3.56271255594976,2,0.168409582097721,1
"Pecr",0.0368377885268065,2,0.981749696895155,1
"Aamp",0,4,1,1
"Usp37",0,4,1,1
"Rnf25",0.00225715992832126,2,0.998872056642697,1
"Nhej1",0.506533800270064,4,0.972861803706553,1
"Cnppd1",0,2,1,1
"Atg9a",1.02806560790774,4,0.905510883778674,1
"Tuba4a",1.81688379053654,4,0.76939195281052,1
"Dnpep",0.957999698905553,4,0.916096319527073,1
"Farsb",1.02496682619296,2,0.599006150425929,1
"Wdfy1",12.5288297045167,4,0.0138229212869224,0.495872015336719
"Serpine2",22.6832929228572,4,0.00014647335442608,0.0147556855951971
"Cul3",0.266752366986786,4,0.991858094043449,1
"Dock10",1.32190414978128,4,0.85764836213379,1
"Trip12",0,4,1,1
"Sp110",4.98696855291824,4,0.2886372186351,1
"A630001G21Rik",0,4,1,1
"Ncl",2.46368515022621,4,0.651150120217708,1
"Pde6d",0.502859739805434,4,0.97322198644797,1
"Hjurp",0,4,1,1
"Ilkap",0.697503601884144,4,0.951636420777598,1
"Hes6",2.94406722471525,4,0.567228830454635,1
"Hdac4",0,2,1,1
"Ndufa10",0,4,1,1
"Cops9",3.46474402813608,4,0.483259301876798,1
"Otos",5.94298217352945,4,0.203447056213484,1
"Mterf4",0,3,1,1
"Hdlbp",6.48893610744874,3,0.090099859252554,1
"Stk25",1.30762776101296,4,0.860080046158776,1
"Thap4",0.928925210241558,4,0.920374844366942,1
"Dtymk",0.271124327837168,4,0.991601132232034,1
"St8sia4",2.85672263338736,5,0.722063487856788,1
"Slco4c1",0.0349180851581024,2,0.982692483390551,1
"D1Ertd622e",0,4,1,1
"Ppip5k2",0.00743047848704457,4,0.999993115568709,1
"Pign",0.526443002643487,4,0.97087621946574,1
"Bcl2",1.45857441107665,2,0.482252614601645,1
"Kdsr",0.470322010747533,4,0.976325079207141,1
"Vps4b",0.357702871133694,2,0.836230124223502,1
"Tsn",0.500952740847044,4,0.973408163174472,1
"Ralb",0,4,1,1
"Ptpn4",22.7512502232682,4,0.000141969787031737,0.0145006363032138
"Dbi",0.72458071979446,4,0.948263379842367,1
"Insig2",0.00970446687224691,4,0.999988265926741,1
"Ddx18",0.558969968170551,2,0.756173082360441,1
"Actr3",0,4,1,1
"Mcm6",7.10800074246665,2,0.0286099599656772,0.743454578048021
"Dars",0,4,1,1
"Cxcr4",0,4,1,1
"Mapkapk2",0.211114378821483,4,0.994805799038662,1
"Rassf5",0,2,1,1
"Ikbke",1.88130964435755,4,0.757577551325933,1
"Srgap2",0.0136273365546952,4,0.999976892137328,1
"Snrpe",0,4,1,1
"Atp2b4",NA,NA,NA,NA
"Btg2",0,4,1,1
"Tmem183a",0,4,1,1
"Rnpep",0.128634349973386,4,0.998018234598051,1
"Timm17a",0.425144332189888,3,0.935000659030654,1
"Ipo9",0.629209265563917,2,0.730077465912112,1
"Ptprc",0,2,1,1
"Nek7",1.27481131208653,4,0.865634440385109,1
"X2310009B15Rik",1.9256558240958,4,0.749430520860415,1
"Cdc73",0,4,1,1
"Rgs2",0,2,1,1
"Rgs18",0,4,1,1
"Pla2g4a",0.0237938328660372,4,0.999929790476656,1
"BC003331",1.67250960516255,2,0.433330396045003,1
"Swt1",0.202987097377087,4,0.995185110635369,1
"Tsen15",0.465785217031302,4,0.976745174089297,1
"Smg7",0.528520010737337,4,0.970665820232236,1
"Dhx9",1.06503261839464,4,0.899779740660779,1
"Npl",NA,NA,NA,NA
"Ier5",0.000373360302129753,4,0.999999982577429,1
"Xpr1",0.108993363284175,2,0.946961651210299,1
"Qsox1",0,2,1,1
"Cep350",0.0158595047596828,4,0.99996872523057,1
"Tor1aip1",0.0755448618620136,4,0.999304333840427,1
"Soat1",0.059493087911559,4,0.999566248272784,1
"Fam20b",1.06008236824018,4,0.90055275554907,1
"Ralgps2",2.47149185577985,4,0.649747789847371,1
"Cacybp",0,4,1,1
"Rabgap1l",6.10350717598271,4,0.191550496486937,1
"Dars2",1.95688019488799,4,0.743689706118524,1
"Klhl20",2.09118757324254,4,0.718991546187343,1
"Prdx6",0,4,1,1
"Suco",0,4,1,1
"Mettl13",NA,NA,NA,NA
"Prrc2c",0,4,1,1
"Blzf1",0.170963626823712,4,0.996548114176196,1
"Atp1b1",2.20974688389,2,0.331252802299637,1
"Sft2d2",0,2,1,1
"Tiprl",0.176893795474551,4,0.996311736372755,1
"Dcaf6",0.0465364269582504,3,0.997366985365747,1
"Rcsd1",0.0456426085275045,4,0.999743522204739,1
"Pou2f1",5.44380862989128,4,0.244713077976399,1
"Uck2",0.00915506991068744,2,0.995432925989922,1
"Mgst3",0.762532630406873,4,0.943399331181237,1
"Nuf2",3.06798730895751,4,0.54651305857162,1
"Hsd17b7",0,4,1,1
"Uap1",3.43674089591213,2,0.179358183397711,1
"Uhmk1",0.182260487569177,4,0.996091494298211,1
"Gm7694",0.0830732477929369,2,0.959314200874122,1
"Atf6",2.61252472834703,4,0.624606033609691,1
"Dusp12",3.5798897328286,3,0.310547546350745,1
"Fcgr2b",0.929133013052806,4,0.920344513512747,1
"Fcgr3",9.08301338040233,5,0.10579849377865,1
"Sdhc",0,4,1,1
"Tomm40l",0.72038014465251,3,0.868400184950281,1
"Fcer1g",0.0790639567238549,5,0.999909103458923,1
"Ndufs2",1.56283379783212,4,0.815455977470774,1
"Ppox",0.366817325968258,2,0.832427903746412,1
"Ufc1",0,4,1,1
"Ncstn",1.8430733859454,4,0.764593112202334,1
"Dusp23",1.03462429565092,4,0.904501150570256,1
"Mndal",NA,NA,NA,NA
"Fh1",0.789655111324062,4,0.939829536752993,1
"Cep170",0.46535077411055,4,0.976785238525842,1
"Adss",18.1308363040642,4,0.00116351166598228,0.0864289372892288
"Hnrnpu",0,4,1,1
"Smyd3",0.613960100570589,2,0.735665277073257,1
"Tfb2m",0.464344654752529,2,0.79280948875501,1
"Ahctf1",2.22463061381122,4,0.694522542186723,1
"Psen2",2.31886200570493,2,0.313664604381736,1
"H3f3a",0,4,1,1
"Nvl",0.000196446674958372,4,0.999999995176404,1
"Wdr26",0,4,1,1
"Lbr",0,4,1,1
"Degs1",0.557917617910312,4,0.967623230133958,1
"Fbxo28",0,4,1,1
"Brox",0.00444346726634849,4,0.999997535602354,1
"Mia3",5.03876858249639e-05,4,0.99999999968264,1
"Hlx",1.78163507243695,4,0.775840561551114,1
"Marc2",0.724845312487863,4,0.948230013048069,1
"Iars2",0.342188070872546,4,0.986930506825164,1
"Rrp15",0.00547571196746603,2,0.997265888525872,1
"Cenpf",6.36685003745841,4,0.17337563717426,1
"Smyd2",NA,NA,NA,NA
"Flvcr1",0.218562487678642,4,0.994446511622967,1
"Nenf",1.15715071969275,4,0.885101819295443,1
"Ppp2r5a",0,4,1,1
"Dtl",3.34819690316928,2,0.187477123018299,1
"Rcor3",0,4,1,1
"Traf3ip3",0.111579801035311,4,0.998500432605026,1
"Hsd11b1",0.561406032426973,3,0.905207876297833,1
"G0s2",0.127581529623224,5,0.999704491507948,1
"Cr1l",0,3,1,1
"Tcea1",0,4,1,1
"Atp6v1h",0,4,1,1
"Rb1cc1",0,3,1,1
"Pcmtd1",0,4,1,1
"Rrs1",2.61393844173546,3,0.455051196321296,1
"Sgk3",0,4,1,1
